"","researcher","h.index","g.index","r.index","number","year1st","journals","vip","avc","allc"
"1","amona",42,89,84.2555636145175,96,24,30,37,83.9270833333333,8057
"2","baldwinlt",70,110,100.359354322355,298,34,64,17,50.2751677852349,14982
"3","barresba",62,124,122.596900450215,79,27,21,37,196.025316455696,15486
"4","barteldp",81,231,227.429109834251,139,26,28,75,384.194244604317,53403
"5","beesels",30,71,68.8839603971781,62,28,27,14,82.3225806451613,5104
"6","benfeyp",49,100,95.8123165360279,104,26,39,27,97.875,10179
"7","bennett",78,133,120.776653373075,184,42,59,27,101.630434782609,18700
"8","bissellmj",84,159,143.878420897645,289,44,110,47,95.4740484429066,27592
"9","bonininm",39,81,78.4028060722319,72,22,41,21,92.4027777777778,6653
"10","borisygg",85,159,148.077682315736,188,48,53,30,136.11170212766,25589
"11","breakerrr",63,110,102.518291050914,135,23,56,44,91.362962962963,12334
"12","buckingham",72,132,121.111518857621,197,41,75,19,91.4365482233503,18013
"13","buckleyr",58,104,95.9895827681317,171,50,53,19,69.5204678362573,11888
"14","cahalanmd",71,124,115.658981493008,142,40,48,28,109.5,15549
"15","carlsonj",43,74,73.3143914930759,74,26,29,29,80.3243243243243,5944
"16","carlsonm",67,125,116.69618674147,131,38,30,19,119.702290076336,15681
"17","changyuan",50,142,139.577935219002,82,27,44,15,247.146341463415,20266
"18","charlesworth",75,144,132.732814330142,243,40,44,17,90.9835390946502,22109
"19","chisarifv",95,167,151.548672049609,264,47,70,46,115.204545454545,30414
"20","cossartp",83,136,123.761868117769,262,37,83,43,80.969465648855,21214
"21","craignl",38,69,63.8122245341753,94,43,37,26,52.8085106382979,4964
"22","deisseroth",64,121,114.302230949356,162,25,42,94,91.1481481481482,14766
"23","denkwinfri",53,127,123.438243668646,95,31,36,41,171.357894736842,16279
"24","depinhor",110,206,190.824526725471,287,31,79,105,152.327526132404,43718
"25","dixitvm",106,226,208.923430950193,319,37,101,63,165.260188087774,52718
"26","dreyfussg",94,167,158.442418562707,170,35,48,37,164.623529411765,27986
"27","dunlap",54,100,93.1611507013519,122,67,54,31,82.6475409836066,10083
"28","eichileree",92,204,191.921859098957,304,22,54,100,138.016447368421,41957
"29","englund",53,100,91.5805656239357,152,47,37,26,70.9407894736842,10783
"30","feigonj",57,93,85.1821577561874,134,36,31,33,68.7611940298507,9214
"31","feldman",101,189,170.610667896237,491,45,128,38,85.4928716904277,41977
"32","fletterick",76,131,119.519872824564,233,40,66,54,82.6738197424893,19263
"33","galanje",76,136,128.292634239071,147,26,47,48,126.34693877551,18573
"34","garciakc",47,86,80.0936951326382,103,26,32,48,72.7281553398058,7491
"35","goldenss",44,75,69.7495519698872,94,32,36,25,61.6170212765957,5792
"36","goodnowcc",67,130,121.856472950763,181,30,55,46,95.0773480662983,17209
"37","gottsch",36,90,88.8706925819755,59,33,21,23,139.186440677966,8212
"38","grillners",66,115,104.03845442912,255,48,54,12,62.1882352941176,15858
"39","hanahand",107,270,254.856822549446,328,68,89,48,224.47256097561,73627
"40","heleniusa",106,198,184.575187931639,230,46,68,50,171.673913043478,39485
"41","henkintm",36,60,55.2358579185659,70,33,23,8,53.6285714285714,3754
"42","heuserje",61,125,123.608252151707,125,42,55,16,136.984,17123
"43","hodgsonko",74,115,104.560986988456,423,45,59,139,44.274231678487,18728
"44","hultgren",70,114,105.702412460643,200,30,68,50,71.94,14388
"45","isbergrr",52,95,87.2696969170857,134,35,43,18,70.544776119403,9453
"46","jablonski",45,76,71.2039324756716,83,37,33,34,71.0120481927711,5894
"47","jackst",101,228,218.497139569377,214,30,53,90,243.785046728972,52170
"48","johnson",64,108,101.05938848024,142,43,54,38,84.7676056338028,12037
"49","jordanvc",83,141,127.859297667397,388,40,135,4,64.8917525773196,25178
"50","kingsley",44,97,93.7709976485267,76,32,38,20,125.473684210526,9536
"51","kondorosie",45,72,65.4904573201318,106,39,40,11,52.7735849056604,5594
"52","kornbli",39,77,73.0068489937759,90,34,46,15,67.2222222222222,6050
"53","koshland",105,178,161.083829107704,395,64,70,111,96.5417721518987,38134
"54","kuroda",37,64,61.0245852095694,65,24,27,24,63.3538461538462,4118
"55","lanierll",120,209,192.122356845839,324,37,69,45,142.503086419753,46171
"56","ledouxje",93,180,167.209449493741,219,38,65,40,149.812785388128,32809
"57","levinbr",47,81,77.4596669241483,95,44,41,11,71.0105263157895,6746
"58","logothetis",65,129,120.020831525198,236,27,70,41,74.114406779661,17491
"59","mackayt",50,83,75.6703376495705,154,38,36,20,52.1623376623377,8033
"60","malenkar",105,197,188.215302247187,183,35,36,100,212.983606557377,38976
"61","malinow",51,125,123.048770818729,83,29,27,47,189.674698795181,15743
"62","Manleyjl",86,142,129.5646556743,246,42,46,81,90.6178861788618,22292
"63","maquatle",52,95,90.4765162901402,96,37,34,26,95.4270833333333,9161
"64","mccammonj",85,162,145.729200917318,541,40,101,82,63.4658040665434,34335
"65","mcconnell",49,94,91.438503924769,83,31,27,25,108.048192771084,8968
"66","medzhitov",73,200,197.681562114427,113,19,39,51,356.955752212389,40336
"67","nathancf",111,250,236.052960159368,278,44,87,40,226.568345323741,62986
"68","nikaido",86,150,137.506363489113,220,56,59,21,108.268181818182,23819
"69","novickpj",64,126,121.630588258053,115,36,39,24,140.086956521739,16110
"70","nussenwrs",59,107,98.3361581515162,163,41,52,29,75.319018404908,12277
"71","nussenzwe",91,167,154.055184917613,211,35,51,85,134.848341232227,28453
"72","oliverabm",74,129,117.076897806527,321,51,95,30,62.7320872274143,20137
"73","ottosp",42,73,67.394361781977,116,26,40,9,48.5775862068966,5635
"74","paradalf",72,156,147.183558864433,192,33,75,45,128.244791666667,24623
"75","parkerr",72,132,123.146254510643,154,30,46,43,114.909090909091,17696
"76","pavletich",56,141,139.789126901916,68,24,21,42,292.382352941176,19882
"77","perrimon",78,125,114.380942468577,189,32,66,74,87.7619047619048,16587
"78","portnoyda",60,106,101.029698603925,108,34,31,17,105.305555555556,11373
"79","pumuming",88,154,142.24626532883,202,42,48,106,121.014851485149,24445
"80","quakesr",58,129,123.883009327349,118,21,47,47,141.796610169492,16732
"81","raikhel",58,96,87.3097932651315,149,34,42,24,67.8926174496644,10116
"82","rizzolat",77,177,171.883681598923,140,41,49,15,223.9,31346
"83","roedergs",55,95,90.4101764183657,95,35,23,26,99.4947368421053,9452
"84","rudensky",66,146,141.10634287657,124,26,30,37,173.838709677419,21556
"85","sansonetti",89,151,137.589970564718,306,35,103,21,84.8627450980392,25968
"86","sawyers",84,188,182.975408183723,154,25,52,50,231.480519480519,35648
"87","schreiber",95,197,183.980977277544,232,40,65,42,168.896551724138,39184
"88","sedatjw",61,105,99.5991967839099,136,48,51,20,82.6617647058823,11242
"89","sejnowski",88,180,167.403703662733,298,39,99,51,114.48322147651,34116
"90","selkereu",46,94,87.8806008172452,103,39,40,28,86.252427184466,8884
"91","shenkthomas",89,149,136.330480817754,230,43,43,72,104,23920
"92","shilhaytj",74,114,104.120122935002,187,43,43,35,77.3743315508021,14469
"93","shokatkm",68,110,100.682669809655,212,18,82,87,63.8160377358491,13529
"94","shubin",17,36,35.6370593624109,31,29,13,16,44.0967741935484,1367
"95","singerrh",73,128,117.354164817445,192,38,81,46,89.6822916666667,17219
"96","strassmann",40,67,60.5392434706612,132,36,49,18,38.8484848484849,5128
"97","strickpl",58,133,130.744024720061,85,42,31,14,209.811764705882,17834
"98","struhlk",95,172,159.602631557252,218,39,37,93,139.779816513761,30472
"99","weissman",68,146,141.541513345025,131,24,38,92,164.908396946565,21603
"100","changwenrui",17,39,37.72267222772,86,33,29,4,19.1395348837209,1646
"101","chenrunsheng",25,61,57.3236425918661,139,30,66,5,28.1438848920863,3912
"102","chenwenxin",19,28,25.7681974534503,63,18,18,1,15.5714285714286,981
"103","chenyizhang",17,22,21.0475651798492,46,26,32,0,13.0434782608696,600
"104","chenziyuan",5,8,7.68114574786861,13,26,13,0,5.30769230769231,69
"105","chengheping",45,75,69.7710541700496,86,21,36,14,66.6395348837209,5731
"106","dengzixin",24,38,34.7275107083707,170,28,70,6,13.0352941176471,2216
"107","fangjingyun",30,52,48.0520551069359,93,24,45,6,31.505376344086,2930
"108","fangrongxiang",17,42,40.0374824383352,46,35,33,2,38.6521739130435,1778
"109","gejunbo",32,60,54.9454274712646,234,25,89,0,18.7564102564103,4389
"110","guijianfang",23,39,35.8189893771446,84,23,57,2,20.3095238095238,1706
"111","guoaike",8,15,13.8924439894498,33,35,21,1,7.66666666666667,253
"112","hanjisheng",32,44,40.1870625948202,134,20,39,0,19.5970149253731,2626
"113","hanjiahuai",66,134,124.052408279727,216,22,88,23,86.7222222222222,18732
"114","hefuchu",32,52,47.5604878023765,258,22,92,9,15.3178294573643,3952
"115","hongdeyuan",16,32,28.7402157263998,95,35,35,1,12.7263157894737,1209
"116","houfanfan",16,32,30.1496268633627,44,25,32,1,23.75,1045
"117","jinguozhang",20,28,25.7681974534503,110,31,37,0,11.6090909090909,1277
"118","jinli",56,132,122.751782064457,377,27,140,26,50.0477453580902,18868
"119","jugong",26,51,45.7930125674212,144,27,68,1,21.4652777777778,3091
"120","kuangtingyun",16,37,33.689761055846,216,35,51,1,9.04166666666667,1953
